Date,Opponent,W/L,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,home_away
3/1/2025,Arcadia University,W,4,1,2,1,.750,0,0,0,0,0,away
3/1/2025,Arcadia University,W,0,0,0,0,0.000,0,0,0,0,0,away
3/4/2025,Widener,W,4,1,3,0,1.000,1,0,0,0,0,home
3/4/2025,Widener,W,1,0,1,0,1.000,0,0,0,0,0,home
3/11/2025,Chapman,L,4,2,2,0,1.000,0,0,0,0,0,away
3/11/2025,Chapman,L,4,3,0,1,.750,0,0,0,0,0,away
3/13/2025,Whittier,L,4,0,4,0,1.000,0,0,0,0,0,away
3/13/2025,Case Western Reserve,L,9,3,5,1,.889,1,0,0,0,0,home
3/15/2025,Claremont-M-S,L,1,0,0,1,.000,0,0,0,0,0,away
3/15/2025,Claremont-M-S,L,2,0,2,0,1.000,0,0,0,0,0,away
3/18/2025,Rosemont,W,2,2,0,0,1.000,0,0,0,0,0,home
3/18/2025,Rosemont,W,2,0,1,1,.500,0,0,0,0,0,home
3/20/2025,Gwynedd Mercy,W,3,0,2,1,.667,0,0,0,0,0,away
3/20/2025,Gwynedd Mercy,W,3,2,1,0,1.000,0,0,0,0,0,away
3/25/2025,Penn State Brandywin,L,5,0,5,0,1.000,0,0,0,0,0,home
3/25/2025,Penn State Brandywin,L,2,0,1,1,.500,1,0,0,0,0,home
3/29/2025,Dickinson,W,0,0,0,0,0.000,0,0,0,0,0,home
3/29/2025,Dickinson,L,5,1,2,2,.600,0,0,0,0,0,home
4/1/2025,Ursinus,W,7,1,5,1,.857,0,0,0,0,0,home
4/1/2025,Ursinus,L,6,1,3,2,.667,0,0,0,0,0,home
4/3/2025,Immaculata,W,5,3,1,1,.800,1,0,0,0,0,away
4/3/2025,Immaculata,W,1,0,1,0,1.000,0,0,0,0,0,away
4/5/2025,Franklin & Marshall,L,5,4,1,0,1.000,0,0,0,0,0,away
4/5/2025,Franklin & Marshall,L,2,0,2,0,1.000,0,0,0,0,0,away
4/10/2025,Washington College,W,3,1,1,1,.667,0,0,0,0,0,away
4/10/2025,Washington College,L,3,1,1,1,.667,0,0,0,0,0,away
4/13/2025,Drew,W,5,4,1,0,1.000,1,0,0,0,0,home
4/13/2025,Drew,W,4,0,2,2,.500,0,0,0,0,0,home
4/15/2025,Swarthmore,L,1,1,0,0,1.000,0,0,0,0,0,home
4/15/2025,Swarthmore,L,3,1,1,1,.667,0,0,0,0,0,home
4/19/2025,Gettysburg,L,4,0,4,0,1.000,0,0,0,0,0,away
4/19/2025,Gettysburg,L,3,2,1,0,1.000,0,0,0,0,0,away
4/22/2025,Muhlenberg,L,0,0,0,0,0.000,0,0,0,0,0,away
