Date,Opponent,W/L,GS,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,SBA,CS,HBP,SH,SF,GDP,K,home_away
3/8/2026,Nichols,L,1,3,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,home
03/08/2026,Skidmore,W,1,3,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,home
3/9/2026,Utica,W,1,2,1,1,0,0,0,0,2,0,1,1,0,0,1,0,0,0,home
3/9/2026,Pitt.-Greensburg,W,1,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,home
3/10/2026,Wesleyan (Conn.),W,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,home
3/10/2026,Otterbein,W,1,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,home
3/12/2026,Curry,W,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,home
3/12/2026,Suffolk,W,1,2,2,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,home
3/13/2026,Blackburn,W,1,3,3,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,home
3/13/2026,Regis (Mass.),W,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,home
